STOP	</s>
4	imposes
4	includes
4	indicated
4	indicates
4	informed
4	insisted
4	invented
4	invites
4	involves
4	joined
4	joins
4	keeps
4	kept
4	knows
4	lacked
4	lacks
4	learned
4	leaves
4	lets
4	licensed
4	liked
4	likes
4	looks
4	loses
4	lost
4	loved
4	lowered
4	makes
4	manages
4	marked
4	matches
4	meaning
4	means
4	meets
4	misses
4	monitors
4	narrows
4	noticed
4	noting
4	offers
4	operates
4	opposes
4	overseeing
4	oversees
4	owes
4	owns
4	pays
4	plays
4	posted
4	praised
4	predicted
4	presents
4	prevents
4	proclaimed
4	produces
4	prohibits
4	proposes
4	prosecuted
4	protects
4	proved
4	provides
4	provoked
4	publishes
4	pulls
4	puts
4	questioned
4	raises
4	ranked
4	reaches
4	reads
4	realized
4	recalled
4	receives
4	recognizes
4	recommended
4	recommends
4	reduces
4	releases
4	reported
4	represents
4	requires
4	resembles
4	responded
4	resumed
4	retained
4	retains
4	revealed
4	reveals
4	rode
4	rolls
4	ruled
4	runs
4	s
4	sang
4	saw
4	scored
4	sees
4	sells
4	sends
4	serves
4	shattered
4	shook
4	shouted
4	showed
4	shows
4	signaled
4	slashed
4	sounded
4	speaks
4	speculated
4	spends
4	spoke
4	started
4	stopped
4	stressed
4	struck
4	stunned
4	suggested
4	suggesting
4	suggests
4	supports
4	survived
4	takes
4	tapped
4	taught
4	teaches
4	tells
4	termed
4	terminated
4	testified
4	thought
4	throws
4	told
4	took
4	tops
4	tracks
4	underscored
4	understands
4	understood
4	unveiled
4	urged
4	urges
4	uses
4	vetoed
4	violated
4	visited
4	warned
4	wears
4	wherever
4	wins
4	withdrew
4	won
4	writes
4	wrote
5	#
5	$
5	a$
5	aug.
5	c$
5	dec.
5	feb.
5	hk$
5	jan.
5	m$
5	no.
5	nov.
5	oct.
5	sept.
6	19th
6	dalkon
6	editorial-page
6	last
6	mancuso
6	next
6	page-one
6	r
6	saturday
6	this
7	a.p.
7	backer
7	ben
7	beverly
7	blunt
7	bobby
7	burt
7	carla
7	charlie
7	ddb
7	dow
7	dr.
7	egon
7	el
7	erich
7	ferdinand
7	gen.
7	h.h.
7	j.c.
7	jon
7	k
7	l.j.
7	messrs.
7	mikhail
7	milton
7	mr.
7	mrs.
7	ms.
7	nancy
7	nigel
7	pierre
7	regatta
7	rick
7	ronald
7	rudolph
7	societe
7	walt
8	another
8	any
8	cs
8	dai-ichi
8	danny
8	dd
8	dpc
8	fleeting
8	h&r
8	her
8	his
8	its
8	my
8	our
8	the
8	their
8	trans
8	your
9	'm
9	're
9	am
9	are
9	behaved
9	inched
9	outnumbered
9	were
9	yielded
10	i
10	they
10	we
10	you
11	acid
11	agriculture
11	airline
11	alaskan
11	alley
11	anc
11	appeals
11	appellate
11	art
11	baby
11	bankruptcy
11	bargaining
11	bay
11	birth
11	black-and-white
11	blue-collar
11	brazilian
11	broker-dealer
11	cafeteria
11	capitalist
11	caribbean
11	catholic
11	central
11	chancery
11	chinese
11	christian
11	cia
11	circuit
11	colombian
11	commerce
11	communist
11	consumer-products
11	copyright
11	core
11	cuban
11	cycling
11	deutsche
11	dorrance
11	dresdner
11	dusty
11	ec
11	elderly
11	federated
11	fellow
11	fha
11	finnish
11	french
11	fuji
11	galileo
11	gasb
11	gate
11	goodman
11	gop
11	gramm-rudman
11	grand
11	harvard
11	hypothetical
11	ig
11	impeachment
11	in-house
11	iran-contra
11	ivy
11	jamaica
11	journal
11	justice
11	kabul
11	kangyo
11	kansas
11	khmer
11	krasnoyarsk
11	labor-management
11	laurel
11	leftist
11	leveraged
11	lone
11	machinists
11	mansion
11	marina
11	median
11	mellon
11	merkur
11	mexican
11	microprocessor
11	midwest
11	midwestern
11	missouri
11	navy
11	nfl
11	nicaraguan
11	nih
11	nimitz
11	notification
11	ocean
11	old
11	pachinko
11	palmer
11	panamanian
11	peasant
11	personal-computer
11	pertussis
11	pilot
11	poison
11	polish
11	potato
11	private-sector
11	random
11	red
11	republican
11	ringing
11	robot
11	savings-and-loan
11	seabrook
11	senate
11	sister
11	ski
11	socialist
11	soviet
11	stanza
11	state
11	superfund
11	supreme
11	swedish
11	taxpayer
11	thrift
11	tourist
11	trademark
11	treasury
11	u.k.
11	u.s.
11	unification
11	vatican
11	white
11	wine
11	winter
11	workplace
11	world
11	yale
11	yeast
11	youngest
11	youth
12	abc
12	aetna
12	agip
12	allianz
12	allied-signal
12	amdura
12	amgen
12	amoco
12	amr
12	anheuser
12	apogee
12	apple
12	arby
12	arco
12	arkla
12	armco
12	armstrong
12	asarco
12	ashland
12	at&t
12	avery
12	avon
12	b
12	bally
12	bancroft
12	bankamerica
12	banponce
12	bearings
12	bellsouth
12	bethlehem
12	blockbuster
12	bloomingdale
12	bnl
12	boeing
12	bofors
12	boyer
12	bristol-myers
12	buick
12	burmah
12	c
12	caci
12	campbell
12	campeau
12	candela
12	carat
12	carnival
12	caterpillar
12	cathay
12	cbs
12	chevron
12	chiron
12	chrysler
12	chugai
12	ciba-geigy
12	cilcorp
12	cineplex
12	citicorp
12	clinton
12	cms
12	cnbc
12	coastal
12	coda
12	coke
12	colgate
12	columbia
12	comair
12	combustion
12	commodore
12	communism
12	compaq
12	conasupo
12	coniston
12	connaught
12	conner
12	contel
12	continental
12	convex
12	corning
12	courtaulds
12	crane
12	cray
12	crossland
12	cuba
12	d
12	d.t.
12	daimler-benz
12	dassault
12	dataproducts
12	dec
12	delmed
12	dentsu
12	detrex
12	digital
12	discovision
12	dlj
12	doman
12	donoghue
12	eagle
12	eaton
12	ekco
12	emerson
12	enfield
12	enron
12	enserch
12	enviropact
12	equitable
12	equitec
12	erbamont
12	esb
12	espn
12	esselte
12	esso
12	exxon
12	falcon
12	fema
12	ferranti
12	finnair
12	fireman
12	firstsouth
12	foothills
12	ford
12	fox
12	freeport-mcmoran
12	fujisawa
12	fujitsu
12	furukawa
12	gaf
12	garbage
12	ge
12	gen-probe
12	genentech
12	georgia-pacific
12	gillette
12	glasnost
12	gm
12	gmac
12	goodson
12	goodyear
12	gorky
12	grace
12	gte
12	guinness
12	hanson
12	hasbro
12	healthcare
12	healthvest
12	hearst
12	helmsley
12	hewlett-packard
12	hitachi
12	hoechst
12	homefed
12	honeywell
12	humana
12	hunter
12	ibm
12	ifi
12	ima
12	imperial
12	inco
12	indexing
12	inland
12	innopac
12	integrated
12	intel
12	intelogic
12	interpublic
12	israel
12	itel
12	itt
12	jacobs
12	jaguar
12	jayark
12	kellogg
12	kemper
12	kkr
12	knight-ridder
12	lancaster
12	leaseway
12	lin
12	lincoln
12	lionel
12	lloyd
12	loral
12	lotus
12	ltv
12	lyondell
12	magna
12	maidenform
12	manville
12	mattel
12	maxicare
12	mca
12	mccall
12	mccaw
12	mcdonald
12	mci
12	mercedes
12	merck
12	mercury
12	meredith
12	merieux
12	mesa
12	mgm\/ua
12	michelin
12	microsoft
12	miniscribe
12	minpeco
12	mips
12	mobil
12	moody
12	motorola
12	mtm
12	murata
12	name-dropping
12	nasa
12	nashua
12	nato
12	nbc
12	nbi
12	nec
12	newsweek
12	nissan
12	nl
12	nomura
12	noranda
12	northeast
12	northrop
12	northwest
12	norwood
12	nrm
12	nurses
12	octel
12	ogden
12	ohbayashi
12	olivetti
12	opec
12	orkem
12	p&g
12	paramount
12	paribas
12	pemex
12	pennzoil
12	petco
12	pfizer
12	pinkerton
12	pittston
12	plaintiff
12	platinum
12	polaroid
12	poughkeepsie
12	pretoria
12	primerica
12	provigo
12	prudential
12	pse
12	quantum
12	quebecor
12	quotron
12	ramada
12	ratners
12	realist
12	refcorp
12	renaissance
12	renault
12	reuters
12	revco
12	rhone-poulenc
12	rockwell
12	rorer
12	royal
12	rubbermaid
12	ryder
12	saab
12	sansui
12	schering-plough
12	seagate
12	seagram
12	searle
12	sears
12	shamir
12	sharon
12	sierra
12	silver
12	skf
12	sony
12	sotheby
12	southam
12	specialized
12	sperry
12	stateswest
12	steppenwolf
12	sterling
12	storer
12	tandy
12	tass
12	tci
12	tele-communications
12	temple
12	tesoro
12	texaco
12	tokyu
12	travelers
12	trelleborg
12	trinity
12	trinova
12	trustcorp
12	tvs
12	tw
12	ual
12	unilab
12	unisys
12	unocal
12	upjohn
12	usair
12	usx
12	valhi
12	venezuela
12	viacom
12	vickers
12	vista
12	vitro
12	wang
12	warner
12	warner-lambert
12	wcrs
12	wedtech
12	weisfield
12	wellcome
12	wendy
12	westinghouse
12	westmoreland
12	whitbread
12	whoever
12	wilfred
12	winnebago
12	woolworth
12	xerox
12	xtra
12	zeta
13	goupil
13	he
13	istat
13	pwa
13	ralston
13	she
14	akzo
14	axa
14	commerzbank
14	daf
14	dig
14	everybody
14	everyone
14	femina
14	fk-506
14	it
14	morgenzon
14	nobody
14	profitably
14	sassy
14	seita
14	there
14	z
15	1920s
15	1930s
15	1960s
15	1990s
15	45-year-old
15	aba
15	administration
15	affidavit
15	aga
15	antibody
15	arabs
15	arbitrator
15	artist
15	beebes
15	bench
15	borders
15	bpca
15	brother
15	cabrera
15	carolinas
15	carrier
15	cboe
15	cftc
15	comex
15	commissioners
15	communists
15	company
15	constituents
15	constitution
15	continent
15	contras
15	country
15	cowboys
15	cray-3
15	cubans
15	dealership
15	defendant
15	dollar
15	earth
15	epa
15	exchequer
15	faa
15	fastest
15	father
15	fbi
15	fcc
15	fda
15	fdic
15	fed
15	ferc
15	fray
15	ftc
15	gang
15	guild
15	gun
15	gut
15	hacker
15	hell
15	husband
15	iafp
15	imf
15	impression
15	inception
15	irs
15	justices
15	kremlin
15	lab
15	latter
15	ldp
15	marketplace
15	meantime
15	merc
15	mid-1970s
15	mid-1980s
15	mid-1990s
15	mirage
15	mother
15	mouth
15	mural
15	naczelnik
15	nasd
15	nation
15	ncaa
15	netherlands
15	oas
15	pentagon
15	philippines
15	pilots
15	planet
15	plo
15	preamble
15	prisoner
15	prosecutor
15	quake
15	region
15	ropes
15	rothschilds
15	rtc
15	sec
15	shutdown
15	sidelines
15	soviets
15	spouse
15	towel
15	toxin
15	tva
15	u.s.s.r.
15	universe
15	usia
15	voter
16	aer
16	assistant
16	associate
16	banknote
16	berlitz
16	borough
16	calloway
16	centrust
16	chief
16	cluett
16	co-chief
16	deputy
16	executive
16	hhs
16	managing
16	mlx
16	nahb
16	nonexecutive
16	senior
16	sri
16	surgeon
16	vice
17	activist
17	affiliated
17	alarm
17	amended
17	amusing
17	angelo
17	applause
17	arts
17	assurances
17	ball
17	barnett
17	bass
17	batman
17	beating
17	black
17	bomber
17	boring
17	bowling
17	breath
17	brick
17	bridges
17	broadcast
17	broadway
17	buck
17	buddy
17	buffet
17	building
17	bunny
17	burns
17	cascade
17	castle
17	cement
17	ceo
17	certified
17	chambers
17	champagne
17	champion
17	channel
17	chaos
17	chevrolet
17	chicken
17	citibank
17	clean
17	coach
17	coats
17	concrete
17	confidential
17	contested
17	cotton
17	creek
17	d'arcy
17	dance
17	des
17	desert
17	diamond
17	distinguished
17	dna
17	dodge
17	dry
17	elite
17	empty
17	exhibit
17	exotic
17	fake
17	falconbridge
17	falls
17	famous
17	fancy
17	finance
17	fine
17	fingers
17	fire
17	fish
17	flamboyant
17	foam
17	foot
17	forecasting
17	foster
17	garden
17	gartner
17	gently
17	ghosts
17	gray
17	gum
17	hall
17	holiday
17	homeless
17	honest
17	horn
17	horse
17	hotel
17	ice
17	ill
17	ira
17	ireland
17	iron
17	jazz
17	journalism
17	leased
17	leather
17	legendary
17	legent
17	lexington
17	light
17	loose
17	mailing
17	mark
17	marlowe
17	marshall
17	master
17	max
17	medicare
17	milk
17	miners
17	mink
17	miss
17	missile
17	monitoring
17	nationwide
17	native
17	neighbor
17	noble
17	oak
17	offshore
17	organized
17	outlawed
17	p53
17	painting
17	parkway
17	parsow
17	placement
17	plumbing
17	pop
17	ports
17	powers
17	precision
17	premier
17	prototype
17	psyllium
17	rainbow
17	rank
17	rear
17	recruiting
17	retinoblastoma
17	retired
17	ridiculous
17	robots
17	rock
17	rolling
17	romantic
17	roper
17	rothschild
17	ruth
17	safer
17	sand
17	seal
17	sen
17	sexual
17	shadow
17	shipping
17	singer
17	sinking
17	sleeping
17	sound
17	stereo
17	surviving
17	suspected
17	sweat
17	teaching
17	thick
17	thurmond
17	tightening
17	toilet
17	topiary
17	toxic
17	toys
17	train
17	trendy
17	uniform
17	unknown
17	viewpoint
17	vintage
17	violetta
17	violin
17	virtue
17	wade
17	warm
17	wealthy
17	webster
17	wood
17	young
18	administrator
18	advertiser
18	affiliate
18	agent
18	aide
18	analyst
18	announcer
18	arm
18	attorney
18	billionaire
18	branch
18	breakdown
18	broker
18	businessman
18	certificate
18	columnist
18	commissioner
18	congressman
18	consultant
18	couple
18	dealer
18	democrat
18	distributor
18	driver
18	economist
18	elephant
18	entrepreneur
18	examiner
18	expert
18	fan
18	federation
18	fever
18	grower
18	inspector
18	institutes
18	investigator
18	journalist
18	lawyer
18	leader
18	lobbyist
18	maker
18	mania
18	mediator
18	member
18	memo
18	ministry
18	mode
18	monopoly
18	negotiator
18	nightmare
18	official
18	palace
18	parent
18	partner
18	planner
18	plaza
18	powerhouse
18	prize
18	producer
18	provider
18	recital
18	researcher
18	resident
18	retailer
18	revolution
18	salesman
18	scholar
18	scientist
18	series
18	sociologist
18	specialist
18	spokesman
18	spokeswoman
18	subsidiary
18	summary
18	supervisor
18	supplier
18	symbol
18	teacher
18	tour
18	trader
18	unit
18	vessel
18	veteran
18	village
19	arena
19	averages
19	calendar
19	celebrity
19	defaults
19	exchange
19	exchanges
19	financings
19	index
19	indexes
19	manipulation
19	market
19	pickers
19	pit
19	prices
19	split
19	trades
19	trading
20	100-share
20	30-share
20	500-stock
20	amex
20	arbitrage
20	bond
20	bull
20	commodity
20	composite
20	computer-guided
20	dax
20	futures
20	insider
20	junk-bond
20	mercantile
20	new-issue
20	nickel
20	nikkei
20	orderly
20	otc
20	over-the-counter
20	overbuilt
20	program
20	pulp
20	regular-season
20	resale
20	secondary
20	seng
20	slashing
20	soda
20	spot
20	stock
20	times-stock
20	turnpike
20	when-issued
20	widget
20	workstation
21	account
21	act
21	address
21	alert
21	answer
21	appeal
21	attack
21	backing
21	backs
21	bang
21	benefit
21	blame
21	blast
21	block
21	boost
21	bounce
21	bowl
21	breach
21	call
21	careers
21	cast
21	cause
21	caution
21	chairs
21	challenge
21	chart
21	close
21	cloud
21	combat
21	command
21	comment
21	conduct
21	consist
21	content
21	cool
21	count
21	counter
21	crack
21	craft
21	crest
21	crush
21	cure
21	cushion
21	date
21	defeat
21	delay
21	depress
21	design
21	disagree
21	display
21	distance
21	divide
21	drain
21	dress
21	drill
21	drink
21	drive
21	dump
21	elaborate
21	escape
21	exercise
21	exist
21	face
21	fare
21	favor
21	fear
21	feature
21	feed
21	fight
21	fit
21	fits
21	focus
21	fool
21	force
21	forecast
21	frame
21	freeze
21	fuel
21	gathering
21	gauge
21	grant
21	guarantee
21	halt
21	harm
21	haul
21	hint
21	honor
21	influence
21	jolt
21	lag
21	launch
21	lead
21	lease
21	limit
21	link
21	lunch
21	maneuver
21	manpower
21	massage
21	merit
21	mirror
21	outfit
21	overhaul
21	pack
21	panic
21	parity
21	peanuts
21	peddling
21	plug
21	post
21	present
21	press
21	print
21	privacy
21	protest
21	reality
21	redemptions
21	register
21	regret
21	release
21	relevant
21	remark
21	remedy
21	remodeling
21	rent
21	repair
21	repeal
21	repeat
21	report
21	rescue
21	return
21	reverse
21	review
21	reward
21	ride
21	ring
21	rule
21	sabotage
21	schedule
21	scheduling
21	select
21	sequester
21	shake
21	shape
21	ship
21	shot
21	shoulder
21	show
21	signal
21	sleep
21	speed
21	stage
21	start
21	stick
21	stretch
21	strike
21	subpoena
21	substitute
21	supplement
21	supply
21	support
21	surrender
21	swap
21	swell
21	tag
21	talk
21	target
21	test
21	tie
21	touch
21	track
21	trail
21	transfer
21	trash
21	travel
21	upgrade
21	use
21	vacuum
21	waste
21	watch
21	weather
21	work
22	abandoning
22	accepting
22	acknowledging
22	acquiring
22	addressing
22	adjusting
22	adopting
22	advising
22	allowing
22	announcing
22	anticipating
22	approaching
22	arranging
22	asking
22	assessing
22	assuming
22	attacking
22	attending
22	attracting
22	avoiding
22	awaiting
22	banning
22	becoming
22	beefeater
22	bleeding
22	blocking
22	boosting
22	breaking
22	breathing
22	bringing
22	broken
22	buying
22	carrying
22	casting
22	catching
22	causing
22	challenging
22	changing
22	charging
22	choosing
22	cleaning
22	collecting
22	combining
22	committing
22	completing
22	concluding
22	conducting
22	consolidating
22	converting
22	cooling
22	creating
22	creeping
22	crossing
22	curbing
22	cutting
22	daewoo
22	defending
22	deferring
22	delaying
22	delivering
22	demanding
22	denying
22	deprived
22	designing
22	destroying
22	developing
22	dialing
22	disclosing
22	discouraging
22	discussing
22	disputed
22	distributing
22	diversifying
22	doing
22	donating
22	drawing
22	driving
22	dropping
22	earning
22	easing
22	eating
22	eliminating
22	enabling
22	encouraging
22	engineered
22	enjoying
22	ensuring
22	entering
22	eroding
22	establishing
22	evaluating
22	exceeded
22	executing
22	exercising
22	expanding
22	expecting
22	experienced
22	experiencing
22	explaining
22	exploring
22	extending
22	facing
22	feeling
22	fighting
22	filling
22	finding
22	flying
22	following
22	forcing
22	forming
22	fueling
22	gaining
22	getting
22	given
22	giving
22	governing
22	granted
22	granting
22	helping
22	hemorrhaging
22	hence
22	hepatitis
22	hitting
22	hurting
22	identifying
22	ignoring
22	importing
22	imposing
22	improving
22	increasing
22	influences
22	inside
22	introducing
22	investigating
22	inviting
22	issuing
22	joining
22	jolted
22	keeping
22	launching
22	laying
22	learning
22	leaving
22	limiting
22	linking
22	losing
22	lowering
22	maintaining
22	making
22	manic
22	manufactured
22	matching
22	measuring
22	medicaid
22	midnight
22	moving
22	negotiating
22	non-violent
22	noon
22	obtaining
22	opposing
22	ordering
22	organizing
22	outside
22	passing
22	paying
22	pending
22	permitting
22	picking
22	placing
22	playing
22	plunging
22	pointing
22	portraying
22	posting
22	practicing
22	predicting
22	preserving
22	preventing
22	probing
22	processed
22	producing
22	promoting
22	protecting
22	providing
22	proving
22	pulling
22	pumping
22	pursuing
22	pushing
22	putting
22	questioning
22	racing
22	raising
22	rattled
22	reaching
22	receiving
22	recognizing
22	recommending
22	recovering
22	reducing
22	reinforcing
22	reinvested
22	renewing
22	repeated
22	replacing
22	reporting
22	requiring
22	restoring
22	restricting
22	retaining
22	revamped
22	reviewing
22	riding
22	running
22	sailing
22	saving
22	scaring
22	seeing
22	selected
22	selling
22	sending
22	serving
22	setting
22	settling
22	shaping
22	shifting
22	showing
22	signing
22	single-a-2
22	soliciting
22	solving
22	speaking
22	speeding
22	spreading
22	spurring
22	stabilizing
22	staging
22	staying
22	stealing
22	stressing
22	studying
22	subsidizing
22	suing
22	supplying
22	supporting
22	surging
22	surrounding
22	taking
22	targeting
22	telling
22	throwing
22	tightened
22	touting
22	tracking
22	treating
22	triggering
22	trimming
22	triple
22	turning
22	undertaking
22	unloading
22	upgrading
22	urging
22	using
22	violating
22	visiting
22	walking
22	watching
22	wearing
22	winning
22	writing
23	acceptance
23	adviser
23	agency
23	agricole
23	associates
23	association
23	assurance
23	authority
23	banker
23	belt
23	box
23	bureau
23	camp
23	capability
23	carbide
23	card
23	ceiling
23	center
23	chain
23	championship
23	clinic
23	club
23	column
23	commission
23	committee
23	concern
23	conference
23	conglomerate
23	consortium
23	contractor
23	corps
23	council
23	craze
23	deficiencies
23	deficit
23	dishonesty
23	division
23	doctrine
23	empire
23	equipment
23	etc
23	exhibition
23	facility
23	fad
23	festival
23	files
23	firm
23	foes
23	foundation
23	franchise
23	fund
23	funding
23	gap
23	gear
23	geneva
23	graduates
23	group
23	harbors
23	haven
23	hess
23	hill
23	holdings
23	infringement
23	initiative
23	institute
23	institution
23	island
23	jetliner
23	label
23	laboratories
23	laundering
23	lights
23	lines
23	logic
23	loser
23	lyonnais
23	machines
23	mafia
23	manager
23	manufacturer
23	mentality
23	mill
23	mine
23	ministers
23	missiles
23	network
23	newsletter
23	niche
23	nutritional
23	obligations
23	opera
23	operation
23	operator
23	organization
23	patch
23	patterns
23	pigs
23	pits
23	plant
23	platform
23	player
23	playoffs
23	pool
23	printers
23	probe
23	programming
23	publication
23	publications
23	regulator
23	reporter
23	representative
23	rider
23	rig
23	satellite
23	scandal
23	sciences
23	sector
23	segment
23	service
23	shack
23	shelves
23	shuttle
23	sits
23	spill
23	splitting
23	station
23	stimulators
23	styles
23	subcommittee
23	subsidy
23	suisse
23	surplus
23	surpluses
23	system
23	systems
23	taping
23	technologies
23	tool
23	tools
23	traffickers
23	trafficking
23	treaty
23	trees
23	tribune
23	trust
23	tube
23	vendor
23	virus
23	war
23	wars
23	wires
23	zone
24	across
24	affecting
24	against
24	amid
24	among
24	at
24	barring
24	behind
24	between
24	beyond
24	by
24	celebrating
24	citing
24	confirms
24	connecting
24	covering
24	detailing
24	featuring
24	for
24	into
24	justifies
24	lasts
24	namely
24	on
24	onto
24	over
24	owning
24	reflects
24	regarding
24	rejecting
24	restricts
24	through
24	toward
24	upon
24	with
24	within
24	without
25	20-year
25	24-hour
25	40-year-old
25	52-week
25	accompanying
25	additional
25	adversary
25	affluent
25	ailing
25	amazing
25	ancient
25	arbitration
25	archrival
25	artistic
25	bargain
25	basic
25	beleaguered
25	big
25	billion-dollar
25	bipartisan
25	bold
25	bread-and-butter
25	bright
25	brilliant
25	broad
25	broader
25	caffeine-free
25	chicago-based
25	child-care
25	class-action
25	classic
25	classical
25	clean-air
25	collective
25	colonial
25	comic
25	commanding
25	conservative
25	constant
25	constitutional
25	contemporary
25	contentious
25	court-appointed
25	creative
25	cypress
25	decent
25	defensive
25	deficit-reduction
25	definitive
25	delicate
25	deteriorating
25	devastating
25	dire
25	distant
25	divisive
25	dominant
25	dozen
25	dynamic
25	ecological
25	egyptian
25	elegant
25	emotional
25	eventual
25	evil
25	exclusive
25	experimental
25	explosive
25	extra
25	extraordinary
25	far-reaching
25	fasb
25	fast-growing
25	felony
25	female
25	fiduciary
25	final
25	first-time
25	five-year
25	flashy
25	fm
25	formal
25	former
25	four-game
25	four-year
25	four-year-old
25	free-lance
25	friendly
25	fundamental
25	gloomy
25	glossy
25	golden
25	great
25	guber-peters
25	gubernatorial
25	hard-line
25	hedging
25	hefty
25	high-interest
25	historic
25	huge
25	immediate
25	impending
25	incumbent
25	indirect
25	industrywide
25	inflation-adjusted
25	influential
25	informal
25	initial
25	inner
25	interactive
25	interim
25	intriguing
25	irish
25	israeli
25	jewish
25	joint
25	joint-venture
25	key
25	landmark
25	large
25	large-scale
25	last-minute
25	lasting
25	leading
25	legitimate
25	lengthy
25	lesser
25	line-item
25	literary
25	long-awaited
25	longstanding
25	longtime
25	major
25	male
25	management-led
25	market-share
25	marxist
25	massive
25	mayoral
25	mere
25	mgm
25	miami-based
25	mild
25	modern
25	money-losing
25	multibillion-dollar
25	multimillion-dollar
25	musical
25	narrower
25	nominal
25	noncallable
25	notorious
25	old-fashioned
25	one-hour
25	ongoing
25	oral
25	orthodox
25	outspoken
25	overall
25	palestinian
25	parking
25	partial
25	particular
25	passive
25	permanent
25	personal-injury
25	pesticide
25	phony
25	post-crash
25	potent
25	pre-trial
25	preliminary
25	presidential
25	prestigious
25	primary
25	pro-life
25	prolonged
25	prominent
25	proposed
25	proxy
25	rare
25	reassuring
25	rebel
25	regular
25	revised
25	revolutionary
25	rigid
25	rival
25	rocky
25	roller
25	roller-coaster
25	runaway
25	sagging
25	sandinista
25	seemingly
25	separate
25	sharper
25	sheer
25	shelf
25	single
25	sizable
25	small
25	smooth
25	snow
25	so-called
25	sole
25	special
25	specific
25	standstill
25	stark
25	startling
25	statutory
25	stop-loss
25	strict
25	striking
25	stunning
25	subsequent
25	sudden
25	swelling
25	sympathetic
25	tactical
25	televised
25	temporary
25	tentative
25	terrible
25	three-year
25	tiny
25	toronto-based
25	touchy
25	traditional
25	tremendous
25	troubled
25	two-day
25	two-tier
25	underlying
25	undisclosed
25	unexpected
25	unified
25	unwanted
25	upscale
25	vast
25	vicious
25	vietnamese
25	vigorous
25	visa
25	vital
25	washington-based
25	whole
25	wild
25	wonderful
25	younger
26	a
26	an
26	en
26	every
26	parental
26	per
27	ago
27	blues
27	desperate
27	dramatically
27	earlier
27	faltered
27	far
27	fast
27	guardian
27	intentionally
27	later
27	much
27	onerous
27	quickly
27	slowly
27	someday
27	soon
27	thereafter
27	trapped
27	well
28	academy
28	affair
28	aggregates
28	airport
28	ambassador
28	area
28	army
28	bacterium
28	bailout
28	bank
28	barron
28	basin
28	beta
28	boomers
28	border
28	breaker
28	breakers
28	brewer
28	bridge
28	bureaucracy
28	buy-out
28	buy-outs
28	cadillac
28	camera
28	cemetery
28	census
28	chamber
28	child
28	chip
28	church
28	city
28	classroom
28	coaches
28	code
28	collection
28	colony
28	companion
